,n_steps
950,2.0
951,11.0
952,12.0
953,6.0
954,10.0
955,9.0
956,20.0
957,14.0
958,16.0
959,16.0
960,6.0
961,4.0
962,6.0
963,2.0
964,5.0
965,13.0
966,6.0
967,14.0
968,8.0
969,3.0
970,12.0
971,6.0
972,12.0
973,5.0
974,13.0
975,10.0
976,18.0
977,3.0
978,6.0
979,15.0
980,18.0
981,11.0
982,12.0
983,11.0
984,17.0
985,6.0
986,14.0
987,15.0
988,7.0
989,7.0
990,5.0
991,11.0
992,5.0
993,15.0
994,17.0
995,7.0
996,12.0
997,15.0
998,18.0
999,5.0
1000,7.0
1001,18.0
1002,9.0
1003,3.0
1004,15.0
1005,14.0
1006,11.0
1007,8.0
1008,11.0
1009,6.0
1010,12.0
1011,27.0
1012,10.0
1013,18.0
1014,4.0
1015,6.0
1016,12.0
1017,9.0
1018,19.0
1019,6.0
1020,6.0
1021,8.0
1022,5.0
1023,8.0
1024,11.0
1025,10.0
1026,11.0
1027,12.0
1028,5.0
1029,8.0
1030,2.0
1031,20.0
1032,11.0
1033,1.0
1034,10.0
1035,3.0
1036,16.0
1037,17.0
1038,27.0
1039,7.0
1040,14.0
1041,9.0
1042,18.0
1043,10.0
1044,16.0
1045,5.0
1046,18.0
1047,4.0
1048,6.0
1049,14.0
1050,3.0
1051,6.0
1052,15.0
1053,3.0
1054,7.0
1055,13.0
1056,2.0
1057,14.0
1058,3.0
1059,21.0
1060,4.0
1061,6.0
1062,26.0
1063,18.0
1064,10.0
1065,7.0
1066,15.0
1067,6.0
1068,4.0
1069,13.0
1070,8.0
1071,5.0
1072,10.0
1073,4.0
1074,9.0
1075,1.0
1076,6.0
1077,20.0
1078,3.0
1079,21.0
1080,5.0
1081,21.0
1082,7.0
1083,7.0
1084,17.0
1085,10.0
1086,16.0
1087,8.0
1088,7.0
1089,40.0
1090,7.0
1091,13.0
1092,25.0
1093,3.0
1094,8.0
1095,4.0
1096,7.0
1097,5.0
1098,5.0
1099,17.0
1100,11.0
1101,3.0
1102,10.0
1103,5.0
1104,2.0
1105,12.0
1106,2.0
1107,10.0
1108,14.0
1109,12.0
1110,6.0
1111,6.0
1112,12.0
1113,5.0
1114,9.0
1115,5.0
1116,5.0
1117,8.0
1118,15.0
1119,11.0
1120,4.0
1121,4.0
1122,9.0
1123,7.0
1124,12.0
1125,8.0
1126,16.0
1127,7.0
1128,8.0
1129,10.0
1130,11.0
1131,8.0
1132,19.0
1133,10.0
1134,9.0
1135,8.0
1136,5.0
1137,15.0
1138,4.0
1139,23.0
1140,16.0
1141,33.0
1142,13.0
1143,7.0
1144,12.0
1145,7.0
1146,11.0
1147,11.0
1148,5.0
1149,7.0
1150,6.0
1151,6.0
1152,8.0
1153,8.0
1154,11.0
1155,4.0
1156,6.0
1157,13.0
1158,7.0
1159,5.0
1160,10.0
1161,11.0
1162,12.0
1163,14.0
1164,10.0
1165,7.0
1166,7.0
1167,23.0
1168,12.0
1169,14.0
1170,3.0
1171,18.0
1172,10.0
1173,5.0
1174,10.0
1175,6.0
1176,11.0
1177,13.0
1178,17.0
1179,6.0
1180,10.0
1181,4.0
1182,4.0
1183,12.0
1184,15.0
1185,9.0
1186,11.0
1187,2.0
1188,8.0
1189,22.0
1190,6.0
1191,9.0
1192,6.0
1193,14.0
1194,12.0
1195,4.0
1196,5.0
1197,3.0
1198,16.0
1199,5.0
1200,16.0
1201,14.0
1202,14.0
1203,9.0
1204,6.0
1205,4.0
1206,10.0
1207,8.0
1208,25.0
1209,5.0
1210,4.0
1211,9.0
1212,13.0
1213,7.0
1214,4.0
1215,3.0
1216,9.0
1217,10.0
1218,6.0
1219,6.0
1220,11.0
